doc_id,item,category,amount,price,discount
DOC99911O800,Футболка,Одежда,2,559.22,70.7
DOC76770P835,Чашка,Посуда,3,101.74,2.51
DOC11213W500,Мыло,Бытовая химия,3,751.2,60.14
DOC11213W500,Тарелка,Посуда,3,278.49,22.1
DOC11213W500,Вилка,Посуда,2,33.42,4.47
DOC74143U216,Куртка,Одежда,2,118.57,5.46
DOC74143U216,Мыло,Бытовая химия,3,289.02,0.66
DOC74143U216,Полотенце,Текстиль,1,517.95,101.03
DOC74143U216,Кастрюля,Посуда,5,385.41,66.21
DOC74143U216,Наволочка,Текстиль,7,170.75,34.58
DOC20354S565,Кастрюля,Посуда,7,827.18,153.78
DOC20354S565,Наволочка,Текстиль,4,138.66,17.19
DOC20354S565,Порошок стиральный,Бытовая химия,4,897.77,67.47
DOC20354S565,Наволочка,Текстиль,7,846.3,157.41
DOC39048V609,Джинсы,Одежда,9,894.42,117.42
DOC39048V609,Средство для мытья посуды,Бытовая химия,3,557.18,105.53
DOC98540L406,Простыня,Текстиль,5,527.31,104.85
DOC35920D416,Шампунь,Бытовая химия,3,153.17,31.64
DOC35920D416,Кастрюля,Посуда,5,800.73,209.09
DOC35920D416,Порошок стиральный,Бытовая химия,1,420.58,60.69
DOC35920D416,Шампунь,Бытовая химия,8,131.19,5.51
DOC35920D416,Полотенце,Текстиль,7,109.76,3.52
DOC59654F973,Кастрюля,Посуда,4,963.84,217.07
DOC59654F973,Шампунь,Бытовая химия,4,391.36,52.19
DOC59654F973,Кастрюля,Посуда,3,796.35,117.23
DOC21764L412,Полотенце,Текстиль,7,67.95,1.95
DOC21764L412,Джинсы,Одежда,10,285.58,38.45
DOC21764L412,Порошок стиральный,Бытовая химия,6,253.28,70.24
DOC21764L412,Порошок стиральный,Бытовая химия,3,820.77,17.16
DOC21764L412,Кастрюля,Посуда,2,812.24,48.22
DOC15872U773,Нож,Посуда,8,432.22,124.5
DOC15872U773,Наволочка,Текстиль,8,244.23,54.42
DOC15872U773,Простыня,Текстиль,3,89.43,9.06
DOC15872U773,Нож,Посуда,8,772.89,187.62
DOC15872U773,Простыня,Текстиль,1,679.86,26.82
DOC26452G141,Полотенце,Текстиль,2,698.22,20.48
DOC63543X933,Кастрюля,Посуда,4,142.76,40.75
DOC63543X933,Средство для мытья посуды,Бытовая химия,2,942.43,109.31
DOC63543X933,Средство для мытья посуды,Бытовая химия,5,488.7,96.71
DOC63543X933,Футболка,Одежда,3,548.49,44.9
DOC89288N470,Полотенце,Текстиль,5,395.87,43.16
DOC89288N470,Чашка,Посуда,5,903.0,74.47
DOC46326M773,Куртка,Одежда,7,855.3,88.21
DOC46326M773,Тарелка,Посуда,10,81.66,2.05
DOC54071F907,Порошок стиральный,Бытовая химия,2,696.5,136.99
DOC54071F907,Средство для мытья посуды,Бытовая химия,6,618.85,124.44
DOC54071F907,Футболка,Одежда,8,188.01,22.96
DOC54071F907,Наволочка,Текстиль,7,136.51,33.51
DOC92929Z363,Мыло,Бытовая химия,6,518.68,87.14
DOC92929Z363,Простыня,Текстиль,8,968.79,258.81
DOC92929Z363,Сковорода,Посуда,2,584.77,101.87
DOC92929Z363,Порошок стиральный,Бытовая химия,2,839.69,152.42
DOC61602F375,Футболка,Одежда,9,848.28,183.96
DOC61602F375,Вилка,Посуда,9,630.98,11.61
DOC61602F375,Шампунь,Бытовая химия,7,567.57,38.17
DOC14200K469,Тарелка,Посуда,7,581.64,78.54
DOC14200K469,Сковорода,Посуда,2,456.48,9.27
DOC14200K469,Кастрюля,Посуда,5,219.53,19.05
DOC14200K469,Джинсы,Одежда,6,845.87,72.11
DOC14200K469,Нож,Посуда,3,689.59,90.77
DOC57393X627,Чашка,Посуда,4,46.12,1.85
DOC57393X627,Вилка,Посуда,5,627.69,4.79
DOC57393X627,Вилка,Посуда,6,624.98,78.22
DOC31226R813,Куртка,Одежда,1,877.22,228.35
DOC31226R813,Наволочка,Текстиль,2,518.23,63.37
DOC31226R813,Сковорода,Посуда,9,915.75,170.29
DOC31226R813,Чашка,Посуда,9,40.16,3.67
DOC57537W458,Шампунь,Бытовая химия,10,975.45,6.69
DOC57537W458,Нож,Посуда,2,880.06,207.88
DOC68519Z830,Футболка,Одежда,10,29.31,4.82
DOC68519Z830,Футболка,Одежда,9,515.67,69.07
DOC68519Z830,Нож,Посуда,9,311.09,71.26
DOC68519Z830,Шампунь,Бытовая химия,2,946.7,54.81
DOC68519Z830,Полотенце,Текстиль,2,558.55,36.35
DOC25366T866,Чашка,Посуда,2,864.53,27.66
DOC17904V490,Тарелка,Посуда,10,854.26,102.39
DOC17904V490,Простыня,Текстиль,7,200.07,54.96
DOC91495T880,Куртка,Одежда,6,38.4,5.73
DOC91495T880,Шампунь,Бытовая химия,6,726.45,187.99
DOC91495T880,Тарелка,Посуда,2,579.74,5.82
DOC91495T880,Вилка,Посуда,7,844.36,198.04
DOC91495T880,Чашка,Посуда,5,165.45,17.18
DOC20616V208,Куртка,Одежда,9,674.89,4.74
DOC20616V208,Джинсы,Одежда,2,350.23,6.47
DOC99576J829,Тарелка,Посуда,8,64.21,1.15
DOC33223G282,Джинсы,Одежда,5,673.04,123.61
DOC33223G282,Куртка,Одежда,3,466.32,2.52
DOC16909B246,Чашка,Посуда,2,845.77,152.8
DOC16909B246,Мыло,Бытовая химия,4,79.49,0.74
DOC34036M921,Джинсы,Одежда,3,607.81,7.45
DOC34036M921,Простыня,Текстиль,8,992.95,43.09
DOC34036M921,Нож,Посуда,10,688.71,142.35
DOC34036M921,Ложка,Посуда,3,425.02,98.88
DOC34036M921,Футболка,Одежда,3,524.0,106.96
DOC98476I824,Вилка,Посуда,6,338.68,60.09
DOC98476I824,Сковорода,Посуда,6,862.6,31.04
DOC98476I824,Вилка,Посуда,8,334.35,84.15
DOC15625A983,Ложка,Посуда,4,64.74,14.53
DOC15625A983,Футболка,Одежда,7,44.74,9.0
DOC15625A983,Кастрюля,Посуда,10,880.17,87.55
DOC15625A983,Наволочка,Текстиль,1,734.98,6.68
DOC96027K532,Кастрюля,Посуда,1,441.61,82.91
DOC96027K532,Мыло,Бытовая химия,2,786.47,172.96
DOC96027K532,Куртка,Одежда,2,491.3,42.4
DOC96027K532,Вилка,Посуда,6,615.81,100.73
DOC96027K532,Мыло,Бытовая химия,8,910.9,188.49
DOC30797N880,Куртка,Одежда,8,169.51,26.2
DOC30797N880,Джинсы,Одежда,10,486.79,4.74
DOC45490W713,Шампунь,Бытовая химия,2,851.7,243.67
DOC32727O117,Полотенце,Текстиль,9,73.36,9.92
DOC32727O117,Полотенце,Текстиль,5,982.01,270.08
DOC32727O117,Шампунь,Бытовая химия,1,241.57,43.82
